x,y,z,t
-0.803,4.195,9.18,11
-0.749,4.385,9.248,9
-0.762,4.63,9.398,11
-0.476,3.977,9.602,10
-0.449,3.677,9.956,10
-0.558,4.113,10.215,10
-0.449,4.535,10.501,10
-0.476,4.44,10.787,10
-0.217,4.099,11.25,11
-0.054,3.636,11.372,10
-0.054,3.159,11.631,10
-0.027,2.873,11.822,10
-0.095,2.696,12.054,10
-0.054,2.478,12.122,10
-0.054,2.165,11.836,10
-0.095,1.716,11.495,10
-0.054,1.375,10.95,11
-0.04,1.348,10.065,10
0.013,1.593,9.084,10
0.095,1.743,8.185,10
0.149,1.906,7.409,10
0.231,2.029,7.109,10
0.381,2.07,6.782,10
0.667,2.015,6.619,11
0.83,1.934,6.742,10
0.926,1.934,7.096,10
0.967,2.029,7.627,10
1.048,2.192,8.158,10
1.253,2.152,8.608,10
1.334,2.315,8.771,10
1.28,2.547,9.084,10
1.253,2.383,9.384,11
1.157,2.124,9.765,10
1.116,2.192,10.079,10
1.103,2.315,10.16,10
1.021,2.383,10.133,10
0.858,2.478,9.97,10
0.653,2.574,9.97,10
0.585,2.642,9.806,10
0.572,2.601,9.411,10
0.64,2.601,9.193,10
0.64,2.71,8.975,10
0.653,2.805,8.907,11
0.612,2.805,8.825,10
0.612,2.86,8.825,10
0.585,2.901,8.635,10
0.503,2.941,8.539,13
0.503,2.941,8.621,10
0.476,2.914,8.757,13
0.49,2.901,8.866,7
0.394,2.873,8.825,11
0.34,2.737,8.676,10
0.313,2.833,8.676,10
0.19,2.887,8.703,10
0.245,2.887,8.58,10
0.245,3.01,8.757,10
0.163,3.078,8.798,10
0.217,3.064,8.744,10
0.163,3.037,8.812,11
0.231,2.996,8.921,10
0.231,3.037,8.894,10
0.149,2.996,8.962,10
0.095,3.05,8.989,11
0.095,3.132,8.921,10
-0.108,3.214,8.717,10
-0.149,3.309,8.594,10
-0.231,3.418,8.526,10
-0.258,3.554,8.471,10
-0.204,3.609,8.526,10
-0.258,3.568,8.676,10
-0.299,3.554,8.703,10
-0.245,3.459,8.853,11
-0.34,3.35,9.043,11
-0.476,3.323,9.261,10
-0.572,3.377,9.384,10
-0.612,3.296,9.316,10
-0.653,3.187,9.343,10
-0.544,3.255,9.125,10
-0.422,3.377,8.948,11
-0.354,3.405,8.894,10
-0.245,3.5,8.771,10
-0.394,4.045,8.703,12
-0.463,3.922,8.798,9
-0.476,3.677,8.962,10
-0.408,3.677,9.003,11
-0.367,3.827,8.948,10
-0.449,3.977,9.016,10
-0.408,4.031,8.962,10
-0.531,4.235,9.071,11
-0.762,4.739,9.193,10
-0.967,4.699,9.329,10
-0.844,4.562,9.493,10
-0.762,4.072,9.752,10
-0.98,3.909,10.623,12
-1.293,3.827,11.318,10
-1.675,3.568,11.958,10
-1.634,2.996,12.026,10
-1.539,2.41,11.904,10
-1.511,2.097,11.713,12
-1.634,2.165,11.223,10
-1.702,2.165,10.814,10
-1.825,1.947,10.474,11
-2.015,1.566,10.16,10
-2.152,1.375,9.915,10
-2.369,1.498,9.793,10
-2.506,1.607,9.602,10
-2.478,1.743,9.37,10
-2.506,1.702,9.166,14
-2.41,1.43,9.003,9
-2.329,1.184,8.839,10
-2.247,0.994,8.689,10
-2.111,0.817,8.58,11
-2.097,0.612,8.73,11
-2.192,0.531,8.825,10
-2.192,0.449,8.703,10
-2.247,0.572,8.648,12
-2.369,0.721,8.512,9
-2.478,0.871,8.512,10
-2.492,1.089,8.539,13
-2.764,1.239,8.58,10
-2.928,1.402,8.499,10
-3.119,1.43,8.717,11
-3.187,1.579,8.866,9
-3.064,1.511,8.948,11
-3.091,1.402,9.316,10
-3.023,1.225,9.534,10
-2.941,1.307,9.656,11
-2.846,1.389,9.67,10
-2.669,1.579,9.738,10
-2.615,1.77,9.684,11
-2.519,1.906,9.384,9
-2.424,2.015,9.193,10
-2.397,2.288,9.152,12
-2.41,2.356,9.234,9
-2.26,2.26,9.411,10
-2.083,2.111,9.37,10
-1.961,2.002,7.491,10
-1.893,2.301,9.52,10
-2.07,2.383,9.534,10
-2.315,2.397,9.752,10
-2.26,2.397,9.547,11
-2.342,2.179,9.629,10
-2.152,2.165,9.411,10
-2.111,2.179,9.493,10
-2.41,2.274,9.602,11
-1.838,2.288,8.635,10
-1.634,2.152,8.962,10
-1.416,2.083,9.357,10
-1.416,1.852,8.907,10
-1.416,2.029,8.703,10
-1.498,2.506,8.471,11
-1.634,2.696,8.253,10
-1.702,3.078,8.185,10
-1.906,3.35,8.403,11
-2.002,3.255,8.771,10
-1.934,3.119,9.057,10
-1.784,2.887,9.289,10
-1.634,2.833,9.152,10
-1.539,2.955,9.316,11
-1.43,2.996,9.575,10
-1.212,2.955,9.861,10
-0.926,2.901,9.97,10
-0.708,2.805,9.997,10
-0.762,2.764,10.024,10
-0.749,2.901,10.024,10
-0.749,2.764,9.956,13
-0.694,2.764,9.656,9
-0.558,2.833,9.084,10
-0.367,2.928,8.73,10
-0.408,2.955,8.526,11
-0.435,2.982,8.39,9
-0.381,3.091,8.281,11
-0.476,3.241,8.172,10
-0.299,3.336,8.09,11
-0.286,3.35,8.185,10
-0.245,3.323,8.349,10
-0.286,3.296,8.594,10
-0.299,3.241,8.948,11
-0.354,3.241,9.275,11
-0.463,3.132,9.588,10
-0.544,3.064,9.82,10
-0.612,3.023,9.929,10
-0.735,3.078,9.833,10
-0.844,3.023,9.738,11
-0.83,3.064,9.479,10
-0.817,3.445,9.125,10
-0.694,3.5,8.717,10
-0.612,3.228,8.335,10
-0.544,3.132,8.24,10
-0.503,3.377,8.349,10
-0.572,3.554,8.43,10
-0.599,3.582,8.662,11
-0.612,3.636,9.057,10
-0.708,3.514,9.248,10
-0.871,3.514,9.507,10
-0.898,3.514,9.697,10
-0.762,3.514,9.602,10
-0.572,3.541,9.547,10
-0.599,3.527,9.438,11
-0.476,3.527,9.084,10
-0.381,3.473,9.071,14
-0.394,3.377,9.125,8
-0.34,3.432,8.989,10
-0.367,3.418,8.948,10
-0.408,3.418,9.234,12
-0.667,3.568,9.343,9
-0.721,3.459,9.343,12
-0.721,3.35,9.289,8
-0.735,3.377,9.248,15
-0.735,3.445,9.084,10
-0.599,3.418,7.736,9
-1.007,3.5,8.88,10
-1.076,3.486,9.861,10
-0.885,3.377,9.697,10
-0.803,3.432,9.357,11
-0.626,3.582,9.507,10
-0.667,3.691,9.438,12
-0.803,3.609,8.158,10
-0.844,3.473,8.499,12
-0.272,3.35,8.921,8
-0.095,3.214,8.539,11
-0.245,3.187,8.43,10
-0.394,3.214,8.785,10
-0.381,3.187,9.098,10
-0.299,3.187,9.22,13
-0.408,3.214,9.22,10
-0.64,3.282,9.289,11
-0.803,3.391,9.357,10
-0.926,3.568,9.438,9
-1.021,3.663,9.22,11
-1.048,3.636,9.357,10
-1.062,3.473,9.411,10
-0.858,3.405,9.275,11
-0.694,3.377,9.234,14
-0.762,3.35,9.275,10
-0.735,3.159,8.962,11
-0.708,3.091,9.016,10
-0.653,3.282,9.248,14
-0.681,3.255,9.248,12
-0.735,3.091,9.22,5
-0.64,2.955,9.234,12
-0.64,3.132,9.193,8
-0.681,3.323,9.248,11
-0.83,3.432,9.098,10
-0.871,3.445,9.016,10
-0.844,3.377,8.88,12
-0.898,3.418,8.975,14
